Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1243965,-,-,-,40.73,-74.02,0,13,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,GHI,DNI,DHI,Relative Humidity,Wind Speed
2023,1,1,0,30,8.1,0,0,0,100,1.9000000000000001
2023,1,1,1,30,8.200000000000001,0,0,0,100,1.9000000000000001
2023,1,1,2,30,8.1,0,0,0,100,1.8
2023,1,1,3,30,8.1,0,0,0,98.93,2
2023,1,1,4,30,7.9,0,0,0,100,2.1
2023,1,1,5,30,7.300000000000001,0,0,0,100,2
2023,1,1,6,30,6.800000000000001,0,0,0,100,2.1
2023,1,1,7,30,6.5,0,0,0,100,2.2
2023,1,1,8,30,6.2,0,0,0,100,2.3000000000000003
2023,1,1,9,30,6,0,0,0,100,2.6
2023,1,1,10,30,5.7,0,0,0,100,2.8000000000000003
2023,1,1,11,30,5.5,0,0,0,100,2.8000000000000003
2023,1,1,12,30,5.7,10,27,9,97.11,2.8000000000000003
2023,1,1,13,30,6.4,105,151,79,94.16,3
2023,1,1,14,30,7.5,284,767,53,90.36,3.1
2023,1,1,15,30,8.4,294,422,129,86.75,3
2023,1,1,16,30,9.200000000000001,445,880,60,79.14,2.8000000000000003
2023,1,1,17,30,9.8,443,881,58,73.21000000000001,2.5
2023,1,1,18,30,10.100000000000001,386,850,54,69.97,2.1
2023,1,1,19,30,9.5,281,773,50,73.11,1.5
2023,1,1,20,30,7.7,142,611,38,88.8,1.2000000000000002
2023,1,1,21,30,6.2,6,0,6,87.14,1.3
2023,1,1,22,30,5.5,0,0,0,87.3,1.3
2023,1,1,23,30,5,0,0,0,89.53,1.3
2023,1,2,0,30,4.4,0,0,0,92.97,1.4000000000000001
2023,1,2,1,30,4,0,0,0,95.42,1.4000000000000001
2023,1,2,2,30,3.8000000000000003,0,0,0,97.11,1.5
2023,1,2,3,30,4,0,0,0,96.2,1.7000000000000002
2023,1,2,4,30,4.1000000000000005,0,0,0,96.32000000000001,2
2023,1,2,5,30,3.7,0,0,0,99.71000000000001,2
2023,1,2,6,30,3.4000000000000004,0,0,0,100,2
2023,1,2,7,30,3.5,0,0,0,100,1.9000000000000001
2023,1,2,8,30,3.4000000000000004,0,0,0,100,1.8
2023,1,2,9,30,3.1,0,0,0,100,1.7000000000000002
2023,1,2,10,30,3,0,0,0,100,1.6
2023,1,2,11,30,3.3000000000000003,0,0,0,100,1.4000000000000001
2023,1,2,12,30,4.1000000000000005,4,0,4,97.38,1.2000000000000002
2023,1,2,13,30,5.800000000000001,21,1,21,89.03,0.9
2023,1,2,14,30,7.5,37,1,37,84.93,0.8
2023,1,2,15,30,8.9,84,5,82,80.72,0.8
2023,1,2,16,30,10.100000000000001,250,43,231,77.06,0.9
2023,1,2,17,30,10.9,303,169,229,75.3,1
2023,1,2,18,30,11.3,162,10,158,75.01,1
2023,1,2,19,30,10.8,69,0,69,80.52,0.9
2023,1,2,20,30,9.600000000000001,31,0,31,91.01,1
2023,1,2,21,30,8.5,3,0,3,88.73,1.2000000000000002
2023,1,2,22,30,7.9,0,0,0,92.61,1.3
2023,1,2,23,30,7.6000000000000005,0,0,0,95.58,1.3
2023,1,3,0,30,7.5,0,0,0,97.3,1.3
2023,1,3,1,30,7.4,0,0,0,98.68,1.3
2023,1,3,2,30,7.4,0,0,0,99.14,1.2000000000000002
2023,1,3,3,30,7.5,0,0,0,98.92,1.1
2023,1,3,4,30,7.5,0,0,0,98.99000000000001,1
2023,1,3,5,30,7.2,0,0,0,100,1.1
2023,1,3,6,30,6.7,0,0,0,100,1.2000000000000002
2023,1,3,7,30,6.300000000000001,0,0,0,100,1.3
2023,1,3,8,30,6.2,0,0,0,100,1.5
2023,1,3,9,30,6.2,0,0,0,100,1.6
2023,1,3,10,30,6.2,0,0,0,100,1.5
2023,1,3,11,30,6.4,0,0,0,100,1.5
2023,1,3,12,30,6.800000000000001,2,0,2,99.73,1.7000000000000002
2023,1,3,13,30,7.7,32,1,32,96.31,2
2023,1,3,14,30,8.8,27,0,27,93.73,2.2
2023,1,3,15,30,9.700000000000001,13,0,13,93.83,2.3000000000000003
2023,1,3,16,30,9.9,26,0,26,96.37,2.3000000000000003
2023,1,3,17,30,9.9,62,1,62,96.89,2.5
2023,1,3,18,30,10.100000000000001,70,2,69,96.73,2.9000000000000004
2023,1,3,19,30,10.200000000000001,58,9,55,98.17,3.2
2023,1,3,20,30,10,17,0,17,100,3.3000000000000003
2023,1,3,21,30,9.8,2,0,2,100,3.2
2023,1,3,22,30,9.8,0,0,0,100,3
2023,1,3,23,30,9.8,0,0,0,100,2.8000000000000003
2023,1,4,0,30,9.8,0,0,0,100,2.9000000000000004
2023,1,4,1,30,9.8,0,0,0,100,3
2023,1,4,2,30,9.8,0,0,0,100,3
2023,1,4,3,30,9.9,0,0,0,100,2.9000000000000004
2023,1,4,4,30,10,0,0,0,100,2.8000000000000003
2023,1,4,5,30,9.8,0,0,0,100,2.6
2023,1,4,6,30,9.5,0,0,0,100,2.4000000000000004
2023,1,4,7,30,9.4,0,0,0,100,2.3000000000000003
2023,1,4,8,30,9.4,0,0,0,100,2.2
